timestamp,user_id,platform,action,resource,ip,country,success
2026-04-23T00:42:56.555392Z,U0304,AWS,PRIVILEGE_CHANGE,prod_ec2,196.216.66.64,India,TRUE
2026-03-28T20:47:51.555392Z,U0247,Salesforce,LOGOUT,prod_ec2,181.104.82.178,UK,TRUE
2025-08-09T00:53:32.555392Z,U0031,Okta,PRIVILEGE_CHANGE,user_data,66.100.41.145,Russia,TRUE
2026-01-16T14:38:46.555392Z,U0454,AWS,LOGOUT,user_data,48.94.217.141,India,TRUE
2025-11-10T16:33:57.555392Z,U0150,AD,PRIVILEGE_CHANGE,salesforce_leads,177.142.6.61,UK,FALSE
2026-05-04T14:10:03.555392Z,U0260,AD,EC2_ACCESS,dev_s3,131.17.200.97,Germany,TRUE
2026-06-08T06:39:25.555392Z,U0328,AWS,LOGIN,dev_s3,129.67.114.255,Germany,TRUE
2026-03-16T03:14:48.555392Z,U0356,Salesforce,PRIVILEGE_CHANGE,dev_s3,71.105.25.191,Russia,TRUE
2025-10-26T01:46:22.555392Z,U0215,AWS,LOGIN,user_data,56.86.19.226,USA,TRUE
2025-06-21T21:16:50.555392Z,U0472,AWS,API_CALL,prod_ec2,80.44.221.62,Brazil,TRUE
2025-12-24T03:42:02.555392Z,U0123,Okta,API_CALL,user_data,20.230.106.206,Germany,TRUE
2025-06-23T01:30:23.555392Z,U0423,Okta,LOGIN,customer_bucket,102.9.135.33,Russia,FALSE
2025-08-14T18:06:14.555392Z,U0059,Okta,EC2_ACCESS,prod_ec2,38.118.116.45,Russia,FALSE
2025-09-05T18:46:51.555392Z,U0016,AWS,S3_ACCESS,prod_ec2,145.71.78.63,Germany,TRUE
2025-08-27T03:16:15.555392Z,U0369,Okta,PRIVILEGE_CHANGE,prod_ec2,136.199.73.130,UK,TRUE
2026-05-13T19:02:44.555392Z,U0091,Okta,LOGIN,customer_bucket,38.182.234.51,UK,TRUE
2026-05-30T03:43:36.555392Z,U0404,AD,S3_ACCESS,prod_ec2,9.226.61.164,India,TRUE
2026-04-30T19:47:39.555392Z,U0190,Okta,API_CALL,prod_ec2,126.54.104.50,China,TRUE
2025-08-05T11:15:33.555392Z,U0034,AWS,LOGOUT,prod_ec2,22.100.88.209,Germany,TRUE
2025-11-12T19:08:01.555392Z,U0356,Okta,PRIVILEGE_CHANGE,user_data,182.116.27.84,Germany,TRUE
2026-02-14T16:37:06.555392Z,U0391,AWS,PRIVILEGE_CHANGE,dev_s3,58.57.114.51,UK,TRUE
2026-02-19T21:48:20.555392Z,U0028,Okta,LOGOUT,salesforce_leads,34.133.159.134,Brazil,TRUE
2026-04-21T04:25:52.555392Z,U0042,Salesforce,API_CALL,salesforce_leads,5.169.91.118,Canada,TRUE
2026-04-08T05:31:11.555392Z,U0199,Okta,EC2_ACCESS,salesforce_leads,158.195.50.182,Brazil,TRUE
2025-11-12T15:37:25.555392Z,U0365,Salesforce,API_CALL,user_data,32.44.220.3,Brazil,TRUE
2026-02-23T06:23:47.555392Z,U0206,AD,LOGOUT,prod_ec2,69.178.56.245,Germany,TRUE
2025-11-21T04:52:35.555392Z,U0121,AWS,S3_ACCESS,user_data,223.207.179.67,China,TRUE
2026-05-13T14:51:10.555392Z,U0479,Okta,S3_ACCESS,salesforce_leads,105.112.250.135,Canada,TRUE
2025-10-13T00:52:05.555392Z,U0044,Salesforce,PRIVILEGE_CHANGE,dev_s3,178.102.203.129,Germany,TRUE
2026-01-05T09:27:00.555392Z,U0239,Okta,EC2_ACCESS,user_data,179.61.197.135,Brazil,TRUE
2026-04-28T21:20:47.555392Z,U0189,Salesforce,S3_ACCESS,dev_s3,215.101.170.65,China,FALSE
2025-09-19T05:54:21.555392Z,U0227,Okta,API_CALL,customer_bucket,25.121.3.130,Russia,TRUE
2026-05-13T16:27:15.555392Z,U0151,AD,S3_ACCESS,prod_ec2,120.102.144.114,Canada,TRUE
2025-07-05T07:37:47.555392Z,U0185,AWS,S3_ACCESS,prod_ec2,75.46.80.127,Russia,TRUE
2026-05-03T04:26:09.555392Z,U0382,Okta,LOGOUT,salesforce_leads,217.76.83.139,UK,TRUE
2026-03-25T14:09:09.555392Z,U0386,Okta,LOGIN,dev_s3,52.3.100.169,India,TRUE
2025-11-24T06:36:50.555392Z,U0401,Salesforce,PRIVILEGE_CHANGE,customer_bucket,39.106.236.66,Brazil,TRUE
